ID,Category,Question,Sample Answer,Answer Type,Source Basis
176,Eligibility,Which programs require PCM?,"B.Tech Computer Science, B.Tech AI & Machine Learning and B.Tech Information Technology require 10+2 (PCM). B.Sc accepts PCM/PCB.",Direct,Reference + Answered FAQ
177,Eligibility,Which program requires a bachelor's degree in computing?,MCA is listed with eligibility of a bachelor's in computing.,Direct,Reference + Answered FAQ
178,Eligibility,Which program requires B.Tech/B.E.?,M.Tech is listed with eligibility of B.Tech / B.E.,Direct,Reference + Answered FAQ
179,Eligibility,Which postgraduate program requires a bachelor's in science?,M.Sc is listed with eligibility of a bachelor's in science.,Direct,Reference + Answered FAQ
180,Eligibility,Which postgraduate program requires a bachelor's in commerce?,M.Com is listed with eligibility of a bachelor's in commerce.,Direct,Reference + Answered FAQ
181,Eligibility,Can I apply if my marks are low?,You must meet the minimum eligibility requirements for the selected program. The reference does not specify exceptions for lower marks.,Direct,Reference + Answered FAQ
182,Eligibility,Is there a minimum aggregate for postgraduate programs?,"Yes. The reference says a relevant bachelor's degree with minimum aggregate marks specified per program is required, but it does not provide the specific aggregate figures in the document.",Direct,Reference + Answered FAQ
183,Admission Process,How do I apply for admission?,The process is: apply online with academic and personal details; submit required documents; the admissions committee reviews the complete application; then an offer/admission decision and enrollment instructions are provided.,Direct,Reference + Answered FAQ
184,Admission Process,What are the steps in the admission process?,Step 1 Apply Online; Step 2 Submit Documents; Step 3 Admission Review; Step 4 Offer Letter with decision and enrollment instructions.,Direct,Reference + Answered FAQ
185,Admission Process,What documents are required for admission?,"Academic transcripts/mark sheets; government-issued photo ID or passport; recent passport-size photograph; SOP for postgraduate and doctoral applications; international applicants need valid passport copy and, where applicable, English proficiency score.",Direct,Reference + Answered FAQ
186,Admission Process,Is an SOP required?,Yes. A Statement of Purpose is required for postgraduate and doctoral applications.,Direct,Reference + Answered FAQ
187,Admission Process,Is an entrance exam required?,Admission may consider entrance scores where applicable. The reference does not say that an entrance exam is mandatory for every program.,Direct,Reference + Answered FAQ
188,Admission Process,Is an interview required?,"For select programs, a personal statement or interview may be part of admission. The reference does not state that every program requires an interview.",Direct,Reference + Answered FAQ
189,Admission Process,When can I apply?,"Fall and Spring each year, with limited Summer options for select programs.",Direct,Reference + Answered FAQ
190,Admission Process,What are the intake cycles?,"Fall and Spring each year, with limited Summer options for select programs.",Direct,Reference + Answered FAQ
191,Admission Process,Can I apply to more than one program?,Yes. Applicants may apply to up to two programs within the same intake cycle.,Direct,Reference + Answered FAQ
192,Admission Process,How many programs can I apply to in one intake?,Up to two programs within the same intake cycle.,Direct,Reference + Answered FAQ
193,Admission Process,How long does admission take?,Admission decisions are typically released within 4–6 weeks of the application deadline.,Direct,Reference + Answered FAQ
194,Admission Process,When will I receive an admission decision?,Admission decisions are typically released within 4–6 weeks of the application deadline.,Direct,Reference + Answered FAQ
195,Admission Process,What happens after I submit my application?,The admissions committee reviews the complete application profile; the applicant then receives the admission decision and enrollment instructions.,Direct,Reference + Answered FAQ
196,Admission Process,What happens after I receive an offer letter?,The offer letter contains the admission decision and instructions to enroll.,Direct,Reference + Answered FAQ
197,Admission Process,Can I apply after the deadline?,The reference does not specify a late-application or deadline-extension policy. Applicants should contact Admissions to check whether an alternative is available.,Direct,Reference + Answered FAQ
198,Admission Process,Can I apply if I have applied to another university?,The reference does not state that applying to another university prevents an applicant from applying to Meridian; no such restriction is specified.,Direct,Reference + Answered FAQ
199,Important Dates,What is the early application deadline?,January 15.,Direct,Reference + Answered FAQ
200,Important Dates,What is the regular application deadline?,April 30.,Direct,Reference + Answered FAQ
201,Important Dates,When are admission decisions released?,June 10 is the listed admission-decision date; the FAQ also says decisions are typically released within 4–6 weeks of the application deadline.,Direct,Reference + Answered FAQ
202,Important Dates,When does the Fall semester begin?,August 1.,Direct,Reference + Answered FAQ
203,Important Dates,What are the important admission dates?,January 15 early application deadline; April 30 regular application deadline; June 10 admission decisions released; August 1 Fall semester begins.,Direct,Reference + Answered FAQ
204,Important Dates,When will I hear back after applying?,Admission decisions are typically released within 4–6 weeks of the application deadline.,Direct,Reference + Answered FAQ
205,Important Dates,Are there Summer admissions?,There are limited Summer options for select programs.,Direct,Reference + Answered FAQ
206,Fees & Financial,What is the undergraduate tuition range?,"The undergraduate tuition range is $7,900–$15,200 per year.",Direct,Reference + Answered FAQ
207,Fees & Financial,What is the postgraduate tuition range?,"The postgraduate tuition range is $9,600–$18,500 per year.",Direct,Reference + Answered FAQ
208,Fees & Financial,What is the undergraduate application fee?,"The undergraduate application/processing fee is $60, one-time, non-refundable.",Direct,Reference + Answered FAQ
209,Fees & Financial,What is the postgraduate application fee?,"The postgraduate application/processing fee is $75, one-time, non-refundable.",Direct,Reference + Answered FAQ
210,Fees & Financial,Is the application fee refundable?,No. The processing fee is described as non-refundable.,Direct,Reference + Answered FAQ
211,Fees & Financial,Is the application fee charged per application?,Yes. The FAQ says a nominal non-refundable processing fee applies per application.,Direct,Reference + Answered FAQ
212,Fees & Financial,What is the undergraduate registration fee?,"The undergraduate admission/registration fee is $500, one-time.",Direct,Reference + Answered FAQ
213,Fees & Financial,What is the postgraduate registration fee?,"The postgraduate admission/registration fee is $650, one-time.",Direct,Reference + Answered FAQ
214,Fees & Financial,How much is accommodation?,"Hostel/accommodation is listed at $3,200 per year.",Direct,Reference + Answered FAQ
215,Fees & Financial,What is the library and technology fee?,The library and technology fee is $350 per year.,Direct,Reference + Answered FAQ
216,Fees & Financial,What is the undergraduate examination fee?,The undergraduate examination fee is $120 per semester.,Direct,Reference + Answered FAQ
217,Fees & Financial,What is the postgraduate examination fee?,The postgraduate examination fee is $150 per semester.,Direct,Reference + Answered FAQ
218,Fees & Financial,What is the caution deposit?,"The caution deposit is $300, one-time and refundable.",Direct,Reference + Answered FAQ
219,Fees & Financial,Is the caution deposit refundable?,Yes. The caution deposit is listed as refundable.,Direct,Reference + Answered FAQ
220,Fees & Financial,Can I pay fees in installments?,Yes. Fees may be paid annually or split into two semester installments.,Direct,Reference + Answered FAQ
221,Fees & Financial,What happens if I pay late?,A late payment fee applies after the published due date each semester.,Direct,Reference + Answered FAQ
222,Fees & Financial,Why are the fees so high?,"The reference lists the fee ranges and facilities/resources, but it does not provide a detailed fee comparison or a specific justification for why the fees are considered high.",Direct,Reference + Answered FAQ
223,Fees & Financial,Are there fee discounts?,The reference does not specify general fee discounts beyond the listed scholarships and need-based aid.,Direct,Reference + Answered FAQ
224,Fees & Financial,Does Meridian provide financial aid?,Yes. Need-based financial aid is available for students demonstrating economic need.,Direct,Reference + Answered FAQ
225,Scholarships,Does Meridian offer scholarships?,"Yes. Meridian lists Merit, Need-Based Aid, and Sports & Arts Scholarship options.",Direct,Reference + Answered FAQ
226,Scholarships,What is the Merit Scholarship?,A merit scholarship can provide up to a 50% tuition waiver for top-scoring incoming students.,Direct,Reference + Answered FAQ
227,Scholarships,Who is eligible for the Merit Scholarship?,The reference describes it for top-scoring incoming students.,Direct,Reference + Answered FAQ
228,Scholarships,What is the maximum Merit Scholarship?,Up to 50% tuition waiver.,Direct,Reference + Answered FAQ
229,Scholarships,Does Meridian offer need-based aid?,Yes. Financial assistance is available for students demonstrating economic need.,Direct,Reference + Answered FAQ
230,Scholarships,Does Meridian offer sports scholarships?,Yes. Sports & Arts Scholarships support students with distinguished sporting or artistic achievement.,Direct,Reference + Answered FAQ
231,Scholarships,Does Meridian offer arts scholarships?,Yes. Sports & Arts Scholarships support students with distinguished sporting or artistic achievement.,Direct,Reference + Answered FAQ
232,Scholarships,What scholarship options are available?,Merit Scholarship: up to 50% tuition waiver for top-scoring incoming students; Need-Based Aid for students demonstrating economic need; Sports & Arts Scholarship for distinguished sporting or artistic achievement.,Direct,Reference + Answered FAQ
233,Scholarships,Can scholarships cover 50% of tuition?,The Merit Scholarship is listed as providing up to a 50% tuition waiver.,Direct,Reference + Answered FAQ
234,International Students,Does Meridian accept international students?,Yes. The reference says Meridian accepts international applicants.,Direct,Reference + Answered FAQ
235,International Students,Can international students apply to undergraduate programs?,Yes. The university accepts international applicants; the document does not restrict international applicants from undergraduate programs.,Direct,Reference + Answered FAQ
236,International Students,Can international students apply to postgraduate programs?,Yes. The university accepts international applicants; the document does not restrict international applicants from postgraduate programs.,Direct,Reference + Answered FAQ
237,International Students,Can international students apply for PhD?,"Yes. The university accepts international applicants, and no restriction is stated for doctoral programs.",Direct,Reference + Answered FAQ
238,International Students,What documents do international students need?,"International applicants need a valid passport copy and, where applicable, an English proficiency score, in addition to the general required documents.",Direct,Reference + Answered FAQ
239,International Students,Do international students need a passport?,Yes. A valid passport copy is listed for international applicants.,Direct,Reference + Answered FAQ
240,International Students,Do international students need an English proficiency score?,"Where applicable, an English proficiency score is required.",Direct,Reference + Answered FAQ
241,International Students,Does Meridian provide relocation support?,"The reference confirms residence halls and international admissions, but it does not specify detailed relocation, airport, visa, travel or settling-in support.",Direct,Reference + Answered FAQ
242,International Students,Does Meridian provide visa assistance?,The reference does not specify visa assistance. Please contact Admissions for current information.,Direct,Reference + Answered FAQ
243,Campus & Student Life,What facilities are available on campus?,"Smart classrooms; central library with 200,000+ volumes and 24/7 reading halls across two floors; Innovation Labs with prototyping benches, 3D printers and startup incubation; sports complex for 12 competitive sports; secure modern residence halls with common lounges and study rooms; cafeteria/food court; 40+ student clubs; annual fests, hackathons and cultural festivals.",Direct,Reference + Answered FAQ
244,Campus & Student Life,Does Meridian have smart classrooms?,Yes. Smart classrooms are described as having interactive displays and flexible seating for collaborative learning.,Direct,Reference + Answered FAQ
245,Campus & Student Life,What is available in the library?,"The central library has 200,000+ volumes and 24/7 reading halls across two floors.",Direct,Reference + Answered FAQ
246,Campus & Student Life,Is the library open 24/7?,The reference says the library has 24/7 reading halls.,Direct,Reference + Answered FAQ
247,Campus & Student Life,How many library volumes are there?,"200,000+ volumes.",Direct,Reference + Answered FAQ
248,Campus & Student Life,Does Meridian have Innovation Labs?,"Yes. They include prototyping benches, 3D printers and startup incubation space.",Direct,Reference + Answered FAQ
249,Campus & Student Life,Does Meridian have a sports complex?,Yes. It has indoor and outdoor facilities for twelve competitive sports.,Direct,Reference + Answered FAQ
250,Campus & Student Life,Does Meridian provide residence halls?,"Yes. Residence halls provide secure, modern housing with common lounges and study rooms.",Direct,Reference + Answered FAQ
251,Campus & Student Life,How much is hostel accommodation?,"$3,200 per year.",Direct,Reference + Answered FAQ
252,Campus & Student Life,What food facilities are available?,The university has a cafeteria and food court with multi-cuisine dining and nutrition-conscious counters.,Direct,Reference + Answered FAQ
253,Campus & Student Life,How many student clubs are available?,40+ student clubs.,Direct,Reference + Answered FAQ
254,Campus & Student Life,What kinds of student clubs are available?,"Clubs span technology, culture, debate and community service.",Direct,Reference + Answered FAQ
255,Campus & Student Life,Does Meridian organize hackathons?,Yes. Annual events include hackathons.,Direct,Reference + Answered FAQ
256,Campus & Student Life,Does Meridian organize cultural festivals?,Yes. Annual events include cultural festivals.,Direct,Reference + Answered FAQ
257,Campus & Student Life,What sports are available?,"The sports complex supports twelve competitive sports, with indoor and outdoor facilities.",Direct,Reference + Answered FAQ
258,Campus & Student Life,What safety facilities are available?,"The reference specifically describes the residence halls as secure and modern, with common lounges and study rooms. It does not provide further details about campus security systems.",Direct,Reference + Answered FAQ
259,Campus & Student Life,Can I visit the campus?,The reference does not specify a campus-visit policy or virtual tour. Applicants should contact Admissions for current arrangements.,Direct,Reference + Answered FAQ
260,Placements & Research,What is Meridian's placement record?,The University at a Glance section lists a 95% placement rate.,Direct,Reference + Answered FAQ
261,Placements & Research,What is the average placement package?,The reference does not provide an average placement package or salary figure.,Direct,Reference + Answered FAQ
262,Placements & Research,Does Meridian guarantee placement?,The reference does not state that Meridian guarantees placement. It reports a 95% placement rate.,Direct,Reference + Answered FAQ
263,Placements & Research,How does Meridian prepare students for industry?,"The university says its approach combines rigorous academics with direct exposure to industry, research and community.",Direct,Reference + Answered FAQ
264,Placements & Research,Does Meridian provide research opportunities?,"Yes. The university reports over $40M in active research funding, Innovation Labs and 60+ exchange/research partners; doctoral programs also include funded research positions.",Direct,Reference + Answered FAQ
265,Placements & Research,Does Meridian have research partnerships?,Yes. It has exchange and research agreements with 60+ partner universities worldwide.,Direct,Reference + Answered FAQ
266,Placements & Research,How large is the alumni network?,"40,000+ alumni working across 70 countries and every major industry.",Direct,Reference + Answered FAQ
267,Counselling & Contact,Why should I choose Meridian?,"The reference highlights six schools, undergraduate/postgraduate/doctoral programs, rigorous academics, industry exposure, research, community engagement, innovation labs, student clubs, sports facilities and residence halls.",Direct,Reference + Answered FAQ
268,Counselling & Contact,How does Meridian compare with other universities?,"The reference does not provide a direct university-by-university comparison. It provides Meridian's own figures such as 5,000+ students, 50+ programs, 150+ faculty, 95% placement rate, 40,000+ alumni across 70 countries, 60+ partners and $40M+ research funding.",Direct,Reference + Answered FAQ
269,Counselling & Contact,Can I change my course after admission?,The reference does not specify a course-change policy after admission. Please contact the Admissions Office for confirmation.,Direct,Reference + Answered FAQ
270,Counselling & Contact,Can I take time to decide before applying?,"Yes. The FAQ says applicants can take their time before applying, while keeping the published deadlines in mind.",Direct,Reference + Answered FAQ
271,Counselling & Contact,Can I get information if I am only researching universities?,"Yes. The admissions process is intended to support prospective students seeking information, and the reference does not require immediate application after an enquiry.",Direct,Reference + Answered FAQ
272,Counselling & Contact,Can someone from admissions call me later?,Yes. The admission-agent flow includes callback scheduling and asks for the best time to contact the student.,Direct,Reference + Answered FAQ
273,Counselling & Contact,Can I speak with an admission counsellor?,Yes. Prospective students can engage with the Admissions Office for application-related information; callback scheduling is also part of the conversation flow.,Direct,Reference + Answered FAQ
274,Counselling & Contact,Can I get information without providing my phone number?,The reference does not specify whether a phone number is mandatory for receiving information. The agent script asks for a mobile number as part of the guided conversation.,Direct,Reference + Answered FAQ
275,Counselling & Contact,Can I get information without sharing my marks?,The reference does not specify whether marks are mandatory for an initial enquiry. Academic records are required as part of the application/document-submission process.,Direct,Reference + Answered FAQ
276,Counselling & Contact,Can I get the brochure by email or WhatsApp?,Yes. The admission-agent script includes an option to send the admission brochure by email or WhatsApp.,Direct,Reference + Answered FAQ
277,Counselling & Contact,Can I schedule a callback?,Yes. The admission-agent conversation flow includes callback scheduling.,Direct,Reference + Answered FAQ
278,Counselling & Contact,What is the admissions office phone number?,The listed admissions phone number is +1 (555) 204-7890.,Direct,Reference + Answered FAQ
279,Counselling & Contact,What is the admissions email?,The listed admissions email is admissions@meridian.edu.,Direct,Reference + Answered FAQ
280,Counselling & Contact,What are the admissions office hours?,"Monday–Friday, 9:00 AM–5:00 PM.",Direct,Reference + Answered FAQ
281,Counselling & Contact,What is the campus address?,"221 Harborview Road, Meridian City, MC 40210.",Direct,Reference + Answered FAQ
282,Program Listing,"List all undergraduate programs with duration, eligibility and fees.","B.Tech Computer Science — 4 Years — 10+2 (PCM) — $14,500/year; B.Tech AI & Machine Learning — 4 Years — 10+2 (PCM) — $15,200/year; B.Tech Information Technology — 4 Years — 10+2 (PCM) — $14,200/year; BBA — 3 Years — 10+2 (Any Stream) — $10,800/year; BCA — 3 Years — 10+2 (Any Stream) — $10,200/year; B.Com — 3 Years — 10+2 (Any Stream) — $8,600/year; BA — 3 Years — 10+2 (Any Stream) — $7,900/year; B.Sc — 3 Years — 10+2 (PCM/PCB) — $9,400/year.",Direct,Reference + Answered FAQ
283,Program Listing,"List all postgraduate programs with duration, eligibility and fees.","MBA — 2 Years — Bachelor's Degree — $18,500/year; MCA — 2 Years — Bachelor's in Computing — $13,800/year; M.Tech (Various Specializations) — 2 Years — B.Tech/B.E. — $14,600/year; M.Sc — 2 Years — Bachelor's in Science — $11,200/year; MA — 2 Years — Bachelor's Degree — $9,600/year; M.Com — 2 Years — Bachelor's in Commerce — $9,900/year.",Direct,Reference + Answered FAQ
284,Program Listing,Which undergraduate program has the lowest tuition?,"BA has the lowest listed undergraduate tuition at $7,900 per year.",Direct,Reference + Answered FAQ
285,Program Listing,Which undergraduate program has the highest tuition?,"B.Tech AI & Machine Learning has the highest listed undergraduate tuition at $15,200 per year.",Direct,Reference + Answered FAQ
286,Program Listing,Which postgraduate program has the lowest tuition?,"MA has the lowest listed postgraduate tuition at $9,600 per year.",Direct,Reference + Answered FAQ
287,Program Listing,Which postgraduate program has the highest tuition?,"MBA has the highest listed postgraduate tuition at $18,500 per year.",Direct,Reference + Answered FAQ
288,Program Listing,Which undergraduate programs are three years long?,"BBA, BCA, B.Com, BA and B.Sc are listed as three-year programs.",Direct,Reference + Answered FAQ
289,Program Listing,Which undergraduate programs are four years long?,"B.Tech Computer Science, B.Tech AI & Machine Learning and B.Tech Information Technology are listed as four-year programs.",Direct,Reference + Answered FAQ
290,Program Listing,Which postgraduate programs are two years long?,All six listed postgraduate programs are two years long.,Direct,Reference + Answered FAQ
291,Program Listing,Which programs accept students from any stream?,"BBA, BCA, B.Com and BA.",Direct,Reference + Answered FAQ
292,Program Listing,Which program requires a computing background?,MCA requires a bachelor's in computing.,Direct,Reference + Answered FAQ
293,Program Listing,Which program requires B.Tech or B.E.?,M.Tech requires B.Tech/B.E.,Direct,Reference + Answered FAQ
294,Program Listing,Which program requires a science bachelor's degree?,M.Sc requires a bachelor's in science.,Direct,Reference + Answered FAQ
295,Program Listing,Which program requires a commerce bachelor's degree?,M.Com requires a bachelor's in commerce.,Direct,Reference + Answered FAQ
296,Program Listing,Which computer-related programs are listed?,"The FAQ identifies B.Tech Computer Science, B.Tech AI & Machine Learning, B.Tech Information Technology and BCA at undergraduate level, plus MCA and M.Tech (various specializations) at postgraduate level.",Direct,Reference + Answered FAQ
297,Fees Objection,Can I pay the fees in installments instead of paying the full amount at once?,Yes. Fees may be paid annually or split into two semester installments. A late payment fee applies after the published due date each semester.,Objection / Graceful,Answered FAQ + Reference
298,Financial Aid Objection,Does Meridian provide fee discounts or financial aid?,Need-based financial aid is available for students demonstrating economic need. The reference does not specify general fee discounts beyond the listed scholarships and aid.,Objection / Graceful,Answered FAQ + Reference
299,Fees Objection,Is the application fee mandatory?,A nominal non-refundable processing fee applies per application. The listed amount is $60 for undergraduate applications and $75 for postgraduate applications.,Objection / Graceful,Answered FAQ + Reference
300,Accreditation Objection,Is Meridian accredited and recognized?,"Yes. The reference lists the National Board of Accreditation, International Association of Universities, Global Business School Network and Engineering Council Certified among its accreditations/recognitions.",Objection / Graceful,Answered FAQ + Reference
301,Selection Objection,How can I choose the right course for me?,The reference does not provide a formal course-selection procedure. You can review programs across the six schools and consider your academic background and specialization interests.,Objection / Graceful,Answered FAQ + Reference
302,Program Objection,What programs can I consider if I don't have a specific course in mind?,"You can consider programs across Engineering, Computer Science, Business/Management, Arts, Science and Commerce. Listed undergraduate options include B.Tech, BBA, BCA, B.Com, BA and B.Sc; postgraduate options include MBA, MCA, M.Tech, M.Sc, MA and M.Com.",Objection / Graceful,Answered FAQ + Reference
303,Program Objection,Does Meridian offer a course in Artificial Intelligence?,"Yes. Meridian offers B.Tech AI & Machine Learning, a four-year program requiring 10+2 with PCM. The School of Computer Science also covers AI.",Objection / Graceful,Answered FAQ + Reference
304,Program Objection,What Computer Science courses does Meridian offer?,"The listed computer-related programs include B.Tech Computer Science, B.Tech AI & Machine Learning, B.Tech Information Technology and BCA; postgraduate options include MCA and M.Tech in various specializations.",Objection / Graceful,Answered FAQ + Reference
305,Program Objection,Can I apply for more than one course?,Yes. Applicants may apply to up to two programs within the same intake cycle.,Objection / Graceful,Answered FAQ + Reference
306,Eligibility Objection,Can I apply if my marks are not very high?,You must meet the minimum eligibility requirements for the selected program. For undergraduate programs this means 10+2 or equivalent with required subjects; for postgraduate programs it means a relevant bachelor's degree with the program's minimum aggregate. The reference does not state whether exceptions are available for lower marks.,Objection / Graceful,Answered FAQ + Reference
307,Eligibility Objection,Is an entrance exam required for admission?,Admission may consider entrance scores where applicable. The reference does not say that an entrance exam is mandatory for every program.,Objection / Graceful,Answered FAQ + Reference
308,International Objection,Can international students apply to Meridian?,"Yes. Meridian accepts international students. International applicants should provide a valid passport copy and, where applicable, an English proficiency score.",Objection / Graceful,Answered FAQ + Reference
309,Deadline Objection,When can I apply for admission?,"Meridian accepts applications in Fall and Spring intake cycles, with limited Summer options for select programs. The listed dates include January 15 as the early deadline and April 30 as the regular deadline.",Objection / Graceful,Answered FAQ + Reference
310,Deadline Objection,What can I do if I miss the application deadline?,The reference does not specify a late-application or deadline-extension policy. Please contact Admissions to check whether an alternative option is available.,Objection / Graceful,Answered FAQ + Reference
311,Process Objection,How long does the admission process take?,Admission decisions are typically released within 4–6 weeks of the application deadline.,Objection / Graceful,Answered FAQ + Reference
312,Application Objection,Can I apply to Meridian if I have already applied to another university?,The reference does not state that applying to another university prevents an applicant from applying to Meridian. No restriction is specified.,Objection / Graceful,Answered FAQ + Reference
313,Decision Objection,When will I receive my admission confirmation?,"After the application is reviewed, the applicant receives an admission decision and enrollment instructions. Decisions are typically released within 4–6 weeks of the application deadline.",Objection / Graceful,Answered FAQ + Reference
314,Hostel Objection,Does Meridian provide hostel accommodation?,"Yes. Meridian provides secure, modern residence halls with common lounges and study rooms. The listed accommodation fee is $3,200 per year.",Objection / Graceful,Answered FAQ + Reference
315,Facilities Objection,What facilities are available at Meridian?,"Facilities include smart classrooms; a central library with 200,000+ volumes and 24/7 reading halls; Innovation Labs with prototyping benches and 3D printers; a sports complex; residence halls; cafeteria/food court; 40+ student clubs; and annual fests, hackathons and cultural festivals.",Objection / Graceful,Answered FAQ + Reference
316,Safety Objection,What safety facilities are available for students?,"The reference specifically describes residence halls as secure and modern, with common lounges and study rooms. It does not provide further details about campus safety systems or security services.",Objection / Graceful,Answered FAQ + Reference
317,Visit Objection,Can I visit the campus if I live far away?,The reference does not specify a campus-visit policy or virtual campus tour. Please contact Admissions for current visit arrangements.,Objection / Graceful,Answered FAQ + Reference
318,Research Objection,Does Meridian offer research opportunities?,"Yes. Meridian has over $40M in active research funding across engineering and sciences, Innovation Labs and incubation facilities, and exchange/research agreements with 60+ partner universities. Doctoral programs include funded research positions across every school.",Objection / Graceful,Answered FAQ + Reference
319,PhD Objection,What are the requirements for a PhD at Meridian?,"A relevant master's degree, a research proposal and faculty availability in the chosen research area are required. Research areas include Engineering & Computing, Business & Economics, Natural Sciences, and Humanities & Social Sciences.",Objection / Graceful,Answered FAQ + Reference
320,Relocation Objection,What support does Meridian provide to students moving from another city or country?,"The reference confirms residence halls and international admissions, but it does not specify detailed relocation, airport, visa, travel or settling-in support.",Objection / Graceful,Answered FAQ + Reference
321,Family Objection,Can I discuss the admission decision with my parents before applying?,Yes. The FAQ says applicants may take time to discuss their decision with their parents; the reference does not impose a restriction on discussing an application with family.,Objection / Graceful,Answered FAQ + Reference
322,Decision Objection,Can I take some time to decide before applying?,"Yes. Applicants can take their time before applying, while keeping the published deadlines in mind.",Objection / Graceful,Answered FAQ + Reference
323,Researching Objection,Can I get information if I am only researching universities and am not ready to apply?,"Yes. The admissions process supports prospective students seeking information about admissions, courses, fees, scholarships and other university-related questions. The reference does not require immediate application after an enquiry.",Objection / Graceful,Answered FAQ + Reference
324,Callback Objection,Can someone from the admissions team call me later?,Yes. The admission-agent flow includes an option to schedule a callback and asks for the best time to contact the student.,Objection / Graceful,Answered FAQ + Reference
325,Out of Scope / Graceful Handling,What is the average salary after B.Tech?,The reference does not provide an average salary figure. It only lists an overall 95% placement rate.,Graceful Unknown,Reference + Answered FAQ
326,Out of Scope / Graceful Handling,What is the highest placement package?,The reference does not provide a highest placement package.,Graceful Unknown,Reference + Answered FAQ
327,Out of Scope / Graceful Handling,Which companies recruit from Meridian University?,The reference does not name recruiting companies.,Graceful Unknown,Reference + Answered FAQ
328,Out of Scope / Graceful Handling,Does Meridian provide transportation?,The reference does not specify transportation services.,Graceful Unknown,Reference + Answered FAQ
329,Out of Scope / Graceful Handling,Does Meridian provide airport pickup?,The reference does not specify airport pickup.,Graceful Unknown,Reference + Answered FAQ
330,Out of Scope / Graceful Handling,Does Meridian provide education loans?,The reference does not specify education-loan arrangements.,Graceful Unknown,Reference + Answered FAQ
331,Out of Scope / Graceful Handling,What are the hostel room sizes?,The reference does not provide room sizes.,Graceful Unknown,Reference + Answered FAQ
332,Out of Scope / Graceful Handling,How many students share a hostel room?,The reference does not specify hostel occupancy per room.,Graceful Unknown,Reference + Answered FAQ
333,Out of Scope / Graceful Handling,Are hostel rooms air-conditioned?,The reference does not specify whether hostel rooms are air-conditioned.,Graceful Unknown,Reference + Answered FAQ
334,Out of Scope / Graceful Handling,What are the hostel meal timings?,The reference does not specify meal timings.,Graceful Unknown,Reference + Answered FAQ
335,Out of Scope / Graceful Handling,Are pets allowed in residence halls?,The reference does not provide a pet policy.,Graceful Unknown,Reference + Answered FAQ
336,Out of Scope / Graceful Handling,What are the exact MBA specializations?,The reference lists MBA but does not provide MBA specializations.,Graceful Unknown,Reference + Answered FAQ
337,Out of Scope / Graceful Handling,What are the exact M.Tech specializations?,The reference says M.Tech has various specializations but does not enumerate them.,Graceful Unknown,Reference + Answered FAQ
338,Out of Scope / Graceful Handling,What subjects are taught in each semester?,The reference does not provide semester-by-semester curricula.,Graceful Unknown,Reference + Answered FAQ
339,Out of Scope / Graceful Handling,What is the detailed curriculum for B.Tech Computer Science?,The reference does not provide the detailed B.Tech Computer Science curriculum.,Graceful Unknown,Reference + Answered FAQ
340,Out of Scope / Graceful Handling,What is the student-to-faculty ratio?,"The reference provides 5,000+ students and 150+ faculty, but it does not state an official student-to-faculty ratio.",Graceful Unknown,Reference + Answered FAQ
341,Out of Scope / Graceful Handling,What are the exact entrance exam scores required?,The reference says entrance scores may apply where applicable but does not provide exact score thresholds.,Graceful Unknown,Reference + Answered FAQ
342,Out of Scope / Graceful Handling,What is the minimum percentage for each postgraduate program?,The reference says minimum aggregate marks are specified per program but does not provide the individual percentages.,Graceful Unknown,Reference + Answered FAQ
343,Out of Scope / Graceful Handling,What is the scholarship renewal policy?,The reference does not specify a scholarship renewal policy.,Graceful Unknown,Reference + Answered FAQ
344,Out of Scope / Graceful Handling,What is the refund policy?,The reference does not provide a general refund policy.,Graceful Unknown,Reference + Answered FAQ
345,Out of Scope / Graceful Handling,What is the admission withdrawal policy?,The reference does not provide an admission withdrawal policy.,Graceful Unknown,Reference + Answered FAQ
346,Out of Scope / Graceful Handling,What are the visa requirements for international students?,The reference does not provide visa requirements.,Graceful Unknown,Reference + Answered FAQ
347,Multi-Constraint,Which undergraduate programs are available for a student with PCM?,"B.Tech Computer Science, B.Tech AI & Machine Learning and B.Tech Information Technology require 10+2 (PCM); B.Sc accepts PCM/PCB.",Direct,Reference + Answered FAQ
348,Multi-Constraint,Which undergraduate programs are available for a student with PCB?,B.Sc is listed with 10+2 (PCM/PCB) eligibility. The B.Tech programs are listed as requiring PCM.,Direct,Reference + Answered FAQ
349,Multi-Constraint,Which programs are available for a Commerce student after 12th?,"BBA, BCA, B.Com and BA are listed as accepting 10+2 from any stream.",Direct,Reference + Answered FAQ
350,Multi-Constraint,Which programs are available for an Arts student after 12th?,"BBA, BCA, B.Com and BA are listed as accepting 10+2 from any stream.",Direct,Reference + Answered FAQ
351,Multi-Constraint,What programs are available after graduation?,"Postgraduate options listed are MBA, MCA, M.Tech (Various Specializations), M.Sc, MA and M.Com.",Direct,Reference + Answered FAQ
352,Multi-Constraint,What programs are available after a master's degree?,"The reference lists doctoral programs requiring a relevant master's degree, research proposal and faculty availability.",Direct,Reference + Answered FAQ
353,Multi-Constraint,What are all the fees I need to consider for undergraduate study?,"Undergraduate tuition is $7,900–$15,200/year, application fee $60 one-time, registration $500 one-time, hostel $3,200/year, library/technology $350/year, examination $120/semester, and refundable caution deposit $300 one-time.",Direct,Reference + Answered FAQ
